place_id,place_name,source,reviewer_name,rating,review_text,review_time,relative_time,language,review_date,review_text_clean,review_length,sentiment_label,review_year,review_month
ChIJj1KrhaZz4ToRCIdXqUVnpig,Fort Bazaar,google,Debbie Jaye (DJPilates),5,"On recommendation from Inoka at Cape Welligama, we went here for lunch. Beautiful place. Apparently rooms are lovely according to a lady I chatted to from the UK staying there. I thoroughly enjoyed my superfood bowl & Bazaar Special cocktail! Great!",1770294452,3 months ago,en,2026-02-05 12:27:32,on recommendation from inoka at cape welligama we went here for lunch beautiful place apparently rooms are lovely according to a lady i chatted to from the uk staying there i thoroughly enjoyed my superfood bowl bazaar special cocktail great ,41,positive,2026,2
ChIJj1KrhaZz4ToRCIdXqUVnpig,Fort Bazaar,google,Ida Mboob,5,We had a great time at fort bazaar. Quality is consistent across the tear drops i have visited. Very well located near all the restaurants and shops on pedlar street. Rooms are really cosy.  The whole hotel is really cosy. Lovely pool and spa experience was super relaxing. The food was yummy and plentiful. Couldnt finish portions. The cocktails were lovely and they have a nice happy hour. The staff are so friendly and helpful. We really enjoyed our time and would go again. Take advantage of the offers,1760527582,6 months ago,en,2025-10-15 11:26:22,we had a great time at fort bazaar quality is consistent across the tear drops i have visited very well located near all the restaurants and shops on pedlar street rooms are really cosy the whole hotel is really cosy lovely pool and spa experience was super relaxing the food was yummy and plentiful couldnt finish portions the cocktails were lovely and they have a nice happy hour the staff are so friendly and helpful we really enjoyed our time and would go again take advantage of the offers,89,positive,2025,10
ChIJj1KrhaZz4ToRCIdXqUVnpig,Fort Bazaar,google,Archchana Ganeshalingam,3,"We went to the restaurant for breakfast not to stay. So I can’t comment about the rooms. Absolutely loved the interior though. We tried the cafe mocha, pineapple juice, papaya juice, css full breakfast and eggs Benedict. The food was ridiculously expensive and not worth the price. May be because the place is inside the Galle Fort. I was excited for the cafe mocha and I was let down. It was cold when it was served. The food was okay. If you are looking for aesthetic photos, go for it. If you are looking for a hearty meal, can skip.",1769131450,3 months ago,en,2026-01-23 01:24:10,we went to the restaurant for breakfast not to stay so i can t comment about the rooms absolutely loved the interior though we tried the cafe mocha pineapple juice papaya juice css full breakfast and eggs benedict the food was ridiculously expensive and not worth the price may be because the place is inside the galle fort i was excited for the cafe mocha and i was let down it was cold when it was served the food was okay if you are looking for aesthetic photos go for it if you are looking for a hearty meal can skip ,102,neutral,2026,1
ChIJIVCshaZz4ToRzoBLr_F2SXs,"Church Street Social, Galle Fort",google,Stefan Joseph,5,"Church Street Social is an excellent spot with amazing food and warm, friendly staff. While the prices are a bit on the higher side, the quality and generous portions more than make up for it. Every dish was flavorful and satisfying. Definitely coming back again—and highly recommend it to anyone looking for a great dining experience in Galle!",1746451060,a year ago,en,2025-05-05 13:17:40,church street social is an excellent spot with amazing food and warm friendly staff while the prices are a bit on the higher side the quality and generous portions more than make up for it every dish was flavorful and satisfying definitely coming back again and highly recommend it to anyone looking for a great dining experience in galle ,60,positive,2025,5
ChIJIVCshaZz4ToRzoBLr_F2SXs,"Church Street Social, Galle Fort",google,Alex Nigli,5,"The vibe in the evening was super amazing, right from the overhanging lights outside, to the walls and flooring and even the powder room had so many stories to tell. The food was superb and the service was top notch, will definitely visit again.",1757531095,8 months ago,en,2025-09-10 19:04:55,the vibe in the evening was super amazing right from the overhanging lights outside to the walls and flooring and even the powder room had so many stories to tell the food was superb and the service was top notch will definitely visit again ,45,positive,2025,9
ChIJIVCshaZz4ToRzoBLr_F2SXs,"Church Street Social, Galle Fort",google,Charlotte Nichols,5,"Great food, wonderful service and lovely cocktails! We had black pork and chicken curries which came with many delicious accompaniments, lovely local flavours! Recommend highly!",1765061492,5 months ago,en,2025-12-06 22:51:32,great food wonderful service and lovely cocktails we had black pork and chicken curries which came with many delicious accompaniments lovely local flavours recommend highly ,26,positive,2025,12
ChIJIVCshaZz4ToRzoBLr_F2SXs,"Church Street Social, Galle Fort",google,Johnson Chong,4,"The waitstaff was very attentive. The food was delicious. Portions were very generous. Some dishes had a starter or main size selection, and the starter version was almost a meal. We had happy hour drinks which was great. The only thing was that the fish curry was too spicey. We asked for medium, and it was blazing HOT for our western palate.",1769316188,3 months ago,en,2026-01-25 04:43:08,the waitstaff was very attentive the food was delicious portions were very generous some dishes had a starter or main size selection and the starter version was almost a meal we had happy hour drinks which was great the only thing was that the fish curry was too spicey we asked for medium and it was blazing hot for our western palate ,63,positive,2026,1
Fine, the dish was supposedly replaced with a new one, but there was no apology, no compliment from the restaurant, and no discount. I believe reputation matters more than anything — this time," you failed.""",1770467598,3 months ago,en,2026-02-07 12:33:18, you failed ,4,negative,2026,2
ChIJq6qqqsZz4ToR0AKTSKoYiNc,The Heritage Cafe & Bistro,google,Mark Hammond,5,"Incredibly delicious grilled chicken sandwich on quality homemade bread with pesto and cheese, yum. Nice relaxed ambiance with indoor and outdoor seating for a refreshing break from strolling Galle Fort. 5 stars.",1768734538,3 months ago,en,2026-01-18 11:08:58,incredibly delicious grilled chicken sandwich on quality homemade bread with pesto and cheese yum nice relaxed ambiance with indoor and outdoor seating for a refreshing break from strolling galle fort 5 stars ,33,positive,2026,1
ChIJ-eGck6Zz4ToRewWhWUmfEAc,Secret Garden Fort,google,Rob,5,"This is a family run guest house and the family were extremely friendly, polite and helpful. The rooms here were basic but perfect for what we required and very reasonably priced. The breakfast was very good and the family couldn't do enough to help us. We had drinks in the bar in evening and it was a pleasant place to sit and watch world go by. I really enjoyed my stay here and would definitely stay again, fully recommend it.",1770326059,3 months ago,en,2026-02-05 21:14:19,this is a family run guest house and the family were extremely friendly polite and helpful the rooms here were basic but perfect for what we required and very reasonably priced the breakfast was very good and the family couldn t do enough to help us we had drinks in the bar in evening and it was a pleasant place to sit and watch world go by i really enjoyed my stay here and would definitely stay again fully recommend it ,82,positive,2026,2
ChIJ-eGck6Zz4ToRewWhWUmfEAc,Secret Garden Fort,google,Duygu Atasever,3,"We came here for dinner and ordered a vegan burger, a shrimp wrap, one cocktail, two beers, and a bottle of water. The vegan burger was not very good, but the shrimp wrap was better. The staff were attentive and very curious — they chatted with us and even tried to learn some Turkish words, which was a nice touch. However, in terms of price, this was one of the most expensive meals we had in Sri Lanka. Because of that, it felt a bit weak in terms of value for money.",1769685419,3 months ago,en,2026-01-29 11:16:59,we came here for dinner and ordered a vegan burger a shrimp wrap one cocktail two beers and a bottle of water the vegan burger was not very good but the shrimp wrap was better the staff were attentive and very curious they chatted with us and even tried to learn some turkish words which was a nice touch however in terms of price this was one of the most expensive meals we had in sri lanka because of that it felt a bit weak in terms of value for money ,92,neutral,2026,1
ChIJ-eGck6Zz4ToRewWhWUmfEAc,Secret Garden Fort,google,Melchior van Velzen,4,"Had a wonderful dinner here: roti chicken. Very nice, tasty, not too spicy. Loved the dog named ‘Chicken Lady’. Easy going dog (not a stray dog), named after her habit to chase chickens. Very friendly staff. Know how to say ‘thank you’ in about 30 languages.",1771234404,2 months ago,en,2026-02-16 09:33:24,had a wonderful dinner here roti chicken very nice tasty not too spicy loved the dog named chicken lady easy going dog not a stray dog named after her habit to chase chickens very friendly staff know how to say thank you in about 30 languages ,47,positive,2026,2
ChIJ-eGck6Zz4ToRewWhWUmfEAc,Secret Garden Fort,google,Julie Strickland,4,Small hotel with restaurant in the middle of Galle Fort. Great location. Staff were very helpful and friendly. Food was good. The room was not exactly large but clean and comfortable bed and the ac was effective.,1763297909,5 months ago,en,2025-11-16 12:58:29,small hotel with restaurant in the middle of galle fort great location staff were very helpful and friendly food was good the room was not exactly large but clean and comfortable bed and the ac was effective ,38,positive,2025,11
ChIJXQZBsKZz4ToR_v-FTu9f6Z0,Lucky Fort Restaurant And Cooking Class And Boat Rides,google,Jess Brueck,5,"The rice and curry tasting platter is incredible! Some of the best curry I’ve had in Sri Lanka. A huge portion, lots of variety of curries I hadn’t tried yet, and flavours to die for. Super friendly service, beautiful small courtyard setting in an old heritage building, it doesn’t look like much from the outside but I wouldnt hesitate to come back. Both the mango and passion fruit lassie were also some of the best I’ve tried.",1764336880,5 months ago,en,2025-11-28 13:34:40,the rice and curry tasting platter is incredible some of the best curry i ve had in sri lanka a huge portion lots of variety of curries i hadn t tried yet and flavours to die for super friendly service beautiful small courtyard setting in an old heritage building it doesn t look like much from the outside but i wouldnt hesitate to come back both the mango and passion fruit lassie were also some of the best i ve tried ,82,positive,2025,11
ChIJXQZBsKZz4ToR_v-FTu9f6Z0,Lucky Fort Restaurant And Cooking Class And Boat Rides,google,Jackie Moore,5,"Amazing 10 piece curry (although there was actually 12!) I would even say it was probably the best we've had in our 2 week trip! Noodles were lush too, nice and spicy. Thank you",1770553636,3 months ago,en,2026-02-08 12:27:16,amazing 10 piece curry although there was actually 12 i would even say it was probably the best we ve had in our 2 week trip noodles were lush too nice and spicy thank you,35,positive,2026,2
ChIJXQZBsKZz4ToR_v-FTu9f6Z0,Lucky Fort Restaurant And Cooking Class And Boat Rides,google,Federica Villani,4,We took the rice+10 curry for 2 people. We enjoyed having the different curry tastes. The quantity was ok. The staff was nice and we didn't wait to much. The place looks local but general cleaning could be improved.,1771001007,2 months ago,en,2026-02-13 16:43:27,we took the rice 10 curry for 2 people we enjoyed having the different curry tastes the quantity was ok the staff was nice and we didn t wait to much the place looks local but general cleaning could be improved ,42,positive,2026,2
ChIJXQZBsKZz4ToR_v-FTu9f6Z0,Lucky Fort Restaurant And Cooking Class And Boat Rides,google,Cat Chapman,5,Stumbled across this place and it was amazing! We were looking for something affordable and this place was reasonably priced but also amazing food. We had the 10 curries and every single one was delicious.,1769436938,3 months ago,en,2026-01-26 14:15:38,stumbled across this place and it was amazing we were looking for something affordable and this place was reasonably priced but also amazing food we had the 10 curries and every single one was delicious ,36,positive,2026,1
ChIJ-1jJTqZz4ToRN8Sbynkney4,Elita Restaurant,google,Bec R,5,"We visited this place on our first night and it was phenomenal! We sat in the garden section and watched people walk by. We ordered the Calamari and rice and the flavour was delicious and fresh. We had such a great time that we came back on our last night so that we could have a whole fish (we’d seen them cooking them on the bbq on our first night and were hooked). You pick your fish and then the spices that you want on it, and then they cook it. We chose a butterfish with lime and chilli and garlic rice 🤤 The fish was incredible!! So fleshy and fresh and the lime chilli topping so good!! Would visit this place again and would recommend to others to visit! The food, the drinks, the people, the atmosphere - it’s a great vibe ☺️",1767344132,4 months ago,en,2026-01-02 08:55:32,we visited this place on our first night and it was phenomenal we sat in the garden section and watched people walk by we ordered the calamari and rice and the flavour was delicious and fresh we had such a great time that we came back on our last night so that we could have a whole fish we d seen them cooking them on the bbq on our first night and were hooked you pick your fish and then the spices that you want on it and then they cook it we chose a butterfish with lime and chilli and garlic rice the fish was incredible so fleshy and fresh and the lime chilli topping so good would visit this place again and would recommend to others to visit the food the drinks the people the atmosphere it s a great vibe ,144,positive,2026,1
ChIJ-1jJTqZz4ToRN8Sbynkney4,Elita Restaurant,google,Paul Stockdale,5,Excellent meal and terrific value. We enjoyed a plate of devilled prawns then each of us had a whole curried fish (which we selected from the ice tray). Dessert of vanilla ice cream with pineapple. Would thoroughly recommend. Waiters attentive and polite.,1772932260,2 months ago,en,2026-03-08 01:11:00,excellent meal and terrific value we enjoyed a plate of devilled prawns then each of us had a whole curried fish which we selected from the ice tray dessert of vanilla ice cream with pineapple would thoroughly recommend waiters attentive and polite ,43,positive,2026,3
ChIJ-1jJTqZz4ToRN8Sbynkney4,Elita Restaurant,google,Rhona OConnor,5,"I had a lovely meal here, it was quiet when I arrived but filled up. Great fresh fish...I even got your pick my own fish.  Really nicely cooked.  Super value.",1772124091,2 months ago,en,2026-02-26 16:41:31,i had a lovely meal here it was quiet when i arrived but filled up great fresh fish i even got your pick my own fish really nicely cooked super value ,32,positive,2026,2
ChIJSV94ZaZz4ToRQqI58ChJqDo,Italian food Resturent & Cafe,google,Maximilán Kočan,4,"Omg I just had here the best Ice-tea of my life! You gotta try it out, definitely recommend!🙌",1740670860,a year ago,en,2025-02-27 15:41:00,omg i just had here the best ice tea of my life you gotta try it out definitely recommend ,20,positive,2025,2
ChIJSV94ZaZz4ToRQqI58ChJqDo,Italian food Resturent & Cafe,google,Ken Wor,1,Could not find the place. Please someone post details how to find it.,1704095247,2 years ago,en,2024-01-01 07:47:27,could not find the place please someone post details how to find it ,14,negative,2024,1
ChIJSV94ZaZz4ToRQqI58ChJqDo,Italian food Resturent & Cafe,google,Jason Smith,5,Perfect food with a great atmosphere.,1697537249,2 years ago,en,2023-10-17 10:07:29,perfect food with a great atmosphere ,7,positive,2023,10
ChIJSV94ZaZz4ToRQqI58ChJqDo,Italian food Resturent & Cafe,google,Ben Cook,1,Closed on Friday night.,1699025659,2 years ago,en,2023-11-03 15:34:19,closed on friday night ,5,negative,2023,11
ChIJI64g_6Zz4ToR8QIkt4riKT0,coconut sambol,google,M M,3,Food is served in earthen ware in a clean and neat manner. Majority of the fate is vegetarian with 2-3 dishes to serve the seafood lovers. The home made ginger beer is a great cooler and the staff is friendly. Perfect casual dining spot in midst of a busy shopping street in Galle. Sweet and authentic Sri Lankan vibe!,1766477427,4 months ago,en,2025-12-23 08:10:27,food is served in earthen ware in a clean and neat manner majority of the fate is vegetarian with 2 3 dishes to serve the seafood lovers the home made ginger beer is a great cooler and the staff is friendly perfect casual dining spot in midst of a busy shopping street in galle sweet and authentic sri lankan vibe ,61,neutral,2025,12
ChIJI64g_6Zz4ToR8QIkt4riKT0,coconut sambol,google,Joselyn Denington,5,"We had a meal here and the food and service was superb - the buffet looked great but we decided to go for the seafood platter which comes with prawns, cuttlefish, lobster and so much more, and it was amazing! Our waiter Ifu also brought us a small taster of one of the curries from the buffet just so we could try it - thank you Ifu for your wonderful service!",1772961702,2 months ago,en,2026-03-08 09:21:42,we had a meal here and the food and service was superb the buffet looked great but we decided to go for the seafood platter which comes with prawns cuttlefish lobster and so much more and it was amazing our waiter ifu also brought us a small taster of one of the curries from the buffet just so we could try it thank you ifu for your wonderful service ,70,positive,2026,3
ChIJI64g_6Zz4ToR8QIkt4riKT0,coconut sambol,google,Chani Ter Haar,5,Couldn’t think of a better place to eat a traditional Sri Lankan buffet than here. The staff were so kind and helpful. I would most definitely go back. That tuna curry was phenomenal! Great value for money.,1766130636,4 months ago,en,2025-12-19 07:50:36,couldn t think of a better place to eat a traditional sri lankan buffet than here the staff were so kind and helpful i would most definitely go back that tuna curry was phenomenal great value for money ,39,positive,2025,12
ChIJpy1SZaRz4ToR1FuCe9zfHvw,National Tea Rooms,google,Dilrukshi Fernando,5,"The oldest café in Galle Fort, this is a gem of a place tucked away into a lane, close to the city’s complex. Mixed with old charm curios and a blend of touristy vibes, it gives a cosy and homely feeling, with tasty, hearty meals. Breakfast options were exceptional. Be sure to check their bicycles for hire, and tours on offer.",1718962901,a year ago,en,2024-06-21 09:41:41,the oldest caf in galle fort this is a gem of a place tucked away into a lane close to the city s complex mixed with old charm curios and a blend of touristy vibes it gives a cosy and homely feeling with tasty hearty meals breakfast options were exceptional be sure to check their bicycles for hire and tours on offer ,63,positive,2024,6
ChIJpy1SZaRz4ToR1FuCe9zfHvw,National Tea Rooms,google,Jerry Ish,5,"This little gem was started in 1932 for the locals to eat- breakfast, lunch, dinner, tea, snacks & still continues to cater to mostly locals. During my 5 days  visit to Galle I've eaten here almost everyday- breakfast, lunch, & afternoon tea. The food is delicious & authentic  local food.  If you are willing to ignore the looks from the outside & go in to eat some home cooked food you'll love it. You will see a lot of locals eating here. Food is served on a clay plate 😄 eat with your hands so lick your fingers.. it's finger licking good. Most breakfast and lunch dishes are cooked & ready to be served. I don't think you can customise the spice levels.. another good thing for local immersion experience 😁",1710572939,2 years ago,en,2024-03-16 07:08:59,this little gem was started in 1932 for the locals to eat breakfast lunch dinner tea snacks still continues to cater to mostly locals during my 5 days visit to galle i ve eaten here almost everyday breakfast lunch afternoon tea the food is delicious authentic local food if you are willing to ignore the looks from the outside go in to eat some home cooked food you ll love it you will see a lot of locals eating here food is served on a clay plate eat with your hands so lick your fingers it s finger licking good most breakfast and lunch dishes are cooked ready to be served i don t think you can customise the spice levels another good thing for local immersion experience ,129,positive,2024,3
ChIJ6a7dyaZz4ToRJmsZUVKGPMg,The Kitchen Galle Fort,google,Aldrin Martins,5,"The kitchen, Galle fort. A really nice restaurant in Galle area. Food quality is really good. The fresh juice also was really good. Srilankan food we tried here was really tasty. The restaurant is little expensive but it's worth the quality. Service also at the restaurant is good.",1552530813,7 years ago,en,2019-03-14 02:33:33,the kitchen galle fort a really nice restaurant in galle area food quality is really good the fresh juice also was really good srilankan food we tried here was really tasty the restaurant is little expensive but it s worth the quality service also at the restaurant is good ,50,positive,2019,3
ChIJ6a7dyaZz4ToRJmsZUVKGPMg,The Kitchen Galle Fort,google,Lien Kay,5,One of those places where you can have a good cup of coffee. Nicely done. The Lavazza variety they use has more robust hence tad bit bitter. A different variety with more Arabica would have given a better taste. But overall I love the place and can recommend to anyone.,1539262958,7 years ago,en,2018-10-11 13:02:38,one of those places where you can have a good cup of coffee nicely done the lavazza variety they use has more robust hence tad bit bitter a different variety with more arabica would have given a better taste but overall i love the place and can recommend to anyone ,51,positive,2018,10
ChIJ6a7dyaZz4ToRJmsZUVKGPMg,The Kitchen Galle Fort,google,Steven Aldridge,4,"Very nice restaurant, enjoyed our meal there. Great place to watch the world go by. Service was so, so",1592689354,5 years ago,en,2020-06-20 21:42:34,very nice restaurant enjoyed our meal there great place to watch the world go by service was so so,19,positive,2020,6
ChIJ6a7dyaZz4ToRJmsZUVKGPMg,The Kitchen Galle Fort,google,Welathanthri “Vidu” Karunaratne,4,"Great food, good variety, excellent atmosphere. Portions may seem smaller. Has a good assortment of alcoholic beverages",1550335491,7 years ago,en,2019-02-16 16:44:51,great food good variety excellent atmosphere portions may seem smaller has a good assortment of alcoholic beverages,17,positive,2019,2
ChIJ6a7dyaZz4ToRJmsZUVKGPMg,The Kitchen Galle Fort,google,Steven Heath,2,Nice cocktails (happy hour) but very very very slow service - waited 15 minutes for one order and that was after a remind. Not worth the discount.,1548853470,7 years ago,en,2019-01-30 13:04:30,nice cocktails happy hour but very very very slow service waited 15 minutes for one order and that was after a remind not worth the discount ,27,negative,2019,1
ChIJLzwv_6Zz4ToRJjP0p1i61As,Dairy King - Homemade Ice Cream,google,Pankaj,4,Cute little traditional Lankan home offering home made ice creams served in their courtyard.  Menu is simple but with ample variety. I ordered a hot fudge ice cream with a scoop of dark chocolate and vanilla though i replaced the latter with cinnamon flavour. The portion was huge and the ice cream felt soft and creamy without any commercial made additives. Cost me 1300 LKR and truly worth the treat in the searing Galle heat.,1767099085,4 months ago,en,2025-12-30 12:51:25,cute little traditional lankan home offering home made ice creams served in their courtyard menu is simple but with ample variety i ordered a hot fudge ice cream with a scoop of dark chocolate and vanilla though i replaced the latter with cinnamon flavour the portion was huge and the ice cream felt soft and creamy without any commercial made additives cost me 1300 lkr and truly worth the treat in the searing galle heat ,76,positive,2025,12
ChIJLzwv_6Zz4ToRJjP0p1i61As,Dairy King - Homemade Ice Cream,google,Sami Karvonen,5,"Family owned place with home made ice cream. Coffees and milkshake were especially good too. If your are in Galle, this place is worth the visit.",1766670854,4 months ago,en,2025-12-25 13:54:14,family owned place with home made ice cream coffees and milkshake were especially good too if your are in galle this place is worth the visit ,27,positive,2025,12
ChIJ21EYpLxz4ToR2DNBXJmJExM,P&S (Perera & Sons) - Galle Town,google,Nirmani Samarakoon,5,"The place is very convenient. Plenty of seating available and even though busy you can easily and conveniently have your lunch here. They have soup, fried rice and lump rice options available for lunch and short eats are also available. Overall a great experience",1747467115,11 months ago,en,2025-05-17 07:31:55,the place is very convenient plenty of seating available and even though busy you can easily and conveniently have your lunch here they have soup fried rice and lump rice options available for lunch and short eats are also available overall a great experience,44,positive,2025,5
ChIJ21EYpLxz4ToR2DNBXJmJExM,P&S (Perera & Sons) - Galle Town,google,AniKet Ghate,5,"If you are an Indian and you are not getting good food in Sri Lanka, then definitely visit this hotel. Because the prices of the food in this hotel are also cheap and the food is also of good quality. Here you get rice in basmati and that too for only 600lkr. And the hotel is also clean.",1741332300,a year ago,en,2025-03-07 07:25:00,if you are an indian and you are not getting good food in sri lanka then definitely visit this hotel because the prices of the food in this hotel are also cheap and the food is also of good quality here you get rice in basmati and that too for only 600lkr and the hotel is also clean ,59,positive,2025,3
ChIJzckiGr1z4ToRMcEYnH8V9Ss,Domino's Pizza - Galle,google,Thisu Withanage,1,Customer service is so bad. Cashier guy acted like we came to eat without paying 🥹😂 lots of staff but service extremely slow. Worst experience 🤢,1768570562,3 months ago,en,2026-01-16 13:36:02,customer service is so bad cashier guy acted like we came to eat without paying lots of staff but service extremely slow worst experience ,25,negative,2026,1
ChIJzckiGr1z4ToRMcEYnH8V9Ss,Domino's Pizza - Galle,google,Ridmi Prathibha,1,"Here's what we bought. We bought a burger for Rs. 990, but it only had 3 pieces of chicken. We spend money and eat, but why do they serve food like this? We've been waiting a long time for food. The staff doesn't care at all.There was no kindness in bringing our order here and then opening our hand. Think before you go. 👎👎👎",1766551404,4 months ago,en,2025-12-24 04:43:24,here s what we bought we bought a burger for rs 990 but it only had 3 pieces of chicken we spend money and eat but why do they serve food like this we ve been waiting a long time for food the staff doesn t care at all there was no kindness in bringing our order here and then opening our hand think before you go ,68,negative,2025,12
