place_id,name,address,lat,lng,rating,user_ratings_total,price_level,types,phone,website,opening_hours,business_status,anchor_area,search_type,primary_category,popularity_tier,is_tourist_area
ChIJI64g_6Zz4ToR8QIkt4riKT0,coconut sambol,"59 Church St, Galle 80000, Sri Lanka",6.025025299999999,80.2180673,4.6,,1.0,"establishment, food, point_of_interest, restaurant",077 797 1199,https://www.facebook.com/Coconut-sambol-415106015489001/,"Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 12:00 PM, 1:30 – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM",OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJLzwv_6Zz4ToRJjP0p1i61As,Dairy King - Homemade Ice Cream,"69 Church St, Galle 80000, Sri Lanka",6.0246283,80.218142,4.6,,1.0,"cafe, establishment, food, point_of_interest, restaurant, store",076 846 3763,,Monday: 8:30 AM – 10:00 PM | Tuesday: 8:30 AM – 10:00 PM | Wednesday: 8:30 AM – 10:00 PM | Thursday: 8:30 AM – 10:00 PM | Friday: 8:30 AM – 10:00 PM | Saturday: 8:30 AM – 10:00 PM | Sunday: 8:30 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJFROaDKZz4ToRgl04LCXllmQ,A Minute by Tuk Tuk Restaurant,"Shop # U-12, Old Dutch Hospita, Hospital St, Galle 80000, Sri Lanka",6.0269179,80.2196668,4.1,,2.0,"establishment, food, point_of_interest, restaurant",0914 945 000,https://aminutebytuktuk.com/,Monday: 11:30 AM – 11:00 PM | Tuesday: 11:30 AM – 11:00 PM | Wednesday: 11:30 AM – 11:00 PM | Thursday: 11:30 AM – 11:00 PM | Friday: 11:30 AM – 11:00 PM | Saturday: 11:30 AM – 11:00 PM | Sunday: 11:30 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJ21EYpLxz4ToR2DNBXJmJExM,P&S (Perera & Sons) - Galle Town,"36 Gamini Mawatha, Galle 80000, Sri Lanka",6.0335319,80.21503899999999,4.0,,2.0,"bakery, cafe, establishment, food, point_of_interest, restaurant, store",0914 943 054,http://www.pereraandsons.com/,Monday: 6:00 AM – 7:30 PM | Tuesday: 6:00 AM – 7:30 PM | Wednesday: 6:00 AM – 7:30 PM | Thursday: 6:00 AM – 7:30 PM | Friday: 6:00 AM – 7:30 PM | Saturday: 6:00 AM – 7:30 PM | Sunday: 6:00 AM – 7:30 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJzckiGr1z4ToRMcEYnH8V9Ss,Domino's Pizza - Galle,"No.43 Colombo Main Rd, Galle 80000, Sri Lanka",6.0341081,80.212034,4.3,,2.0,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",0117 777 888,,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,takeaway,Top,True
ChIJGSArhr1z4ToRGQnqPhd9lCk,Pizza Hut,"No.70A Galle - Colombo Rd, Galle 80000, Sri Lanka",6.035667200000001,80.2099612,4.3,,2.0,"establishment, food, point_of_interest, restaurant",0117 729 729,https://www.pizzahut.lk/,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJt8ptRr9z4ToRW0_BJDeaezM,Little Lanka Bakers,"26R7+QRH, Wakwella Rd, Galle 80000, Sri Lanka",6.0419268,80.2146151,3.9,,,"establishment, food, point_of_interest, restaurant",0914 946 946,,Monday: 7:00 AM – 6:30 PM | Tuesday: 7:00 AM – 6:30 PM | Wednesday: 7:00 AM – 6:30 PM | Thursday: 7:00 AM – 6:30 PM | Friday: 7:00 AM – 6:30 PM | Saturday: 7:00 AM – 6:30 PM | Sunday: 7:00 AM – 6:30 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJH9jG4FFy4ToRdRd98jyyY80,The Shack Beach Cafe,"472 Matara Rd, Galle 80000, Sri Lanka",6.03294,80.238676,4.7,,2.0,"bar, cafe, establishment, food, point_of_interest, restaurant",077 541 5117,http://theshackbeachcafe.com/,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJ60drkMVz4ToRjZorVar28A8,Malee's Restaurant,"No: 93 1/1 Steel Road Dangedara, Galle 80000, Sri Lanka",6.050172,80.22019,4.3,,,"establishment, food, point_of_interest, restaurant",0913 911 380,,Monday: 10:30 AM – 10:30 PM | Tuesday: 10:30 AM – 10:30 PM | Wednesday: 10:30 AM – 10:30 PM | Thursday: 10:30 AM – 10:30 PM | Friday: 10:30 AM – 10:30 PM | Saturday: 10:30 AM – 10:30 PM | Sunday: 10:30 AM – 10:30 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJEYXBbOlz4ToR7fSVWvklv8g,Hotel Hasara,"1 Wakunugoda Road, ගාල්ල 80000, Sri Lanka",6.0494794,80.20641379999999,3.8,,,"bar, establishment, food, lodging, point_of_interest, restaurant, tourist_attraction",0912 232 177,https://www.booking.com/hotel/lk/hasara-guest-house.html?aid=1132732,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,OPERATIONAL,Galle Fort,restaurant,bar,Top,True
ChIJxTkX-FBy4ToRTD_JmHiN8PQ,La Mer Beach Restaurant & Lounge Bar,"26GV+X2W, A2, Galle, Sri Lanka",6.0274874,80.2425914,4.4,,,"establishment, food, point_of_interest, restaurant",077 194 7957,http://www.cocobayunawatuna.com/,Monday: 7:00 AM – 11:00 PM | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJD1xwl1By4ToRZCUZ-SE9aAQ,Mintage Restaurant and Bar - Galle,"No: 449, Matara Road, Deveta, Galle, Sri Lanka",6.0290541,80.24258209999999,4.1,,2.0,"establishment, food, point_of_interest, restaurant",0912 244 499,https://mintage.lk/,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJWRdQmrlz4ToRlyzdxPW_KVA,The Lady Hill Hotel,"29 Upper Dickson Rd, Galle 80000, Sri Lanka",6.038573299999999,80.2187684,4.5,,,"bar, establishment, food, health, lodging, point_of_interest, restaurant",,http://www.ladyhill.lk/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,OPERATIONAL,Galle Fort,restaurant,bar,Top,True
ChIJzxnijKZz4ToRDBgvb_I7Xqw,Fort Dew Guest House and Restaurant,"22 Sri Sudharmalaya Road, Galle 80000, Sri Lanka",6.027167299999999,80.2152041,4.3,,,"establishment, food, lodging, point_of_interest, restaurant, tourist_attraction",0912 224 365,http://fortdew.com/,,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJ5aX7w2Zz4ToRqsTIAMEWm9g,Riku Kai,"44 Lighthouse St, Galle 80000, Sri Lanka",6.0268096,80.2165667,4.9,,,"establishment, food, point_of_interest, restaurant",0117 770 300,,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJpyXIfQBz4ToR0wHBoN5f0nE,Flavours Restaurant,"05 Church Cross St, Galle 80000, Sri Lanka",6.0272396,80.216883,4.5,,,"establishment, food, point_of_interest, restaurant",077 784 2005,,Monday: 10:00 AM – 9:30 PM | Tuesday: 10:00 AM – 9:30 PM | Wednesday: 10:00 AM – 9:30 PM | Thursday: 10:00 AM – 9:30 PM | Friday: 10:00 AM – 9:30 PM | Saturday: 10:00 AM – 9:30 PM | Sunday: 10:00 AM – 9:30 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJW9kkIaRz4ToRW_HsUcYW7Ms,The Bungalow Galle Fort - Restaurant & Cocktail Bar.,"3 Church Cross St, Galle 80212, Sri Lanka",6.0272606,80.2167415,4.8,,,"bar, establishment, food, point_of_interest, restaurant",,https://www.instagram.com/thebungalowgallefort/,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,bar,Top,True
ChIJd2OafwBz4ToRuaCldsxKZ_Y,Anods Cafe and Restaurant,"Lighthouse St, Galle 80000, Sri Lanka",6.027135599999999,80.2165471,4.9,,,"cafe, establishment, food, point_of_interest, restaurant",077 325 7248,https://anodzcafe.com/,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJlyLHCgBz4ToRTgYb0n3ALUk,AR H,"Galle Dutch Fort, Galle 80000, Sri Lanka",6.0273081,80.21722919999999,,,,"establishment, food, point_of_interest, restaurant",,,,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJ1dPY5Zhz4ToR_HOt0mvVZhQ,The Arch Restaurant - Galle Fort,"01 A Church Cross St, Galle 80000, Sri Lanka",6.0274326,80.2170929,4.7,,,"establishment, food, point_of_interest, restaurant",0912 238 053,http://www.thearch.lk/,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJ7-qpShtz4ToRH3vxw-d08ao,Spice chest,"35 Pedlar St, Galle 80000, Sri Lanka",6.026273,80.2172847,5.0,,,"establishment, food, point_of_interest, restaurant",,,,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJE6kXK1Bz4ToRyrG4dAFCrwo,Amma Nissa Galle Fort,"12 Parawa St, Galle 80000, Sri Lanka",6.0267675,80.2161692,4.7,,,"establishment, food, point_of_interest, restaurant",077 666 7303,https://www.ammanissa.com/,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJ8czUHaRz4ToRE76rl3FRtKI,Imals Restaurant,"36 Lighthouse St, Galle 80000, Sri Lanka",6.0274712,80.2164154,4.7,,1.0,"establishment, food, point_of_interest, restaurant",070 303 6338,,Monday: 11:30 AM – 9:30 PM | Tuesday: 11:30 AM – 9:30 PM | Wednesday: 11:30 AM – 9:30 PM | Thursday: 11:30 AM – 9:30 PM | Friday: 11:30 AM – 9:30 PM | Saturday: 11:30 AM – 9:30 PM | Sunday: Closed,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJ-U-06pZz4ToRJXb7e3MCqZg,1710,"64A Pedlar St, Galle 80000, Sri Lanka",6.0262333,80.21729780000001,4.7,,,"establishment, food, point_of_interest, restaurant",0912 229 223,http://www.themerchantgallefort.com/,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJDec_bGRz4ToRRikz8Ww-HVI,Y.M.B.A. Canteen,"36 Lighthouse St, Galle 80000, Sri Lanka",6.0275094,80.2163959,3.9,,,"establishment, food, point_of_interest, restaurant",,,Monday: 5:30 AM – 10:00 PM | Tuesday: 5:30 AM – 10:00 PM | Wednesday: 5:30 AM – 10:00 PM | Thursday: 5:30 AM – 10:00 PM | Friday: 5:30 AM – 10:00 PM | Saturday: 5:30 AM – 10:00 PM | Sunday: 5:30 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJG3EMMQBz4ToROdWHeoeCERc,Secret Garden Restaurant,"66 Pedlar St, Galle 80000, Sri Lanka",6.0260548,80.2171616,4.1,,,"establishment, food, point_of_interest, restaurant",,,,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJHwO7HgBz4ToRvo2yaszC0g4,Sugar Bistro,"53 Lighthouse St, Galle 80000, Sri Lanka",6.026036299999999,80.2171207,4.3,,,"establishment, food, point_of_interest, restaurant",,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJfUK7dgBz4ToR9IbtG1WAXYo,Nisala Food,"62, 10 Pedlar St, Galle 80000, Sri Lanka",6.0262297,80.21753079999999,4.7,,,"establishment, food, point_of_interest, restaurant",077 578 5955,,Monday: 5:00 AM – 10:00 PM | Tuesday: 5:00 AM – 10:00 PM | Wednesday: 5:00 AM – 10:00 PM | Thursday: 5:00 AM – 10:00 PM | Friday: 5:00 AM – 10:00 PM | Saturday: 5:00 AM – 10:00 PM | Sunday: 5:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJQWJ6jaZz4ToRgqp3a-W9Qsk,Isle of Gelato,"60A Pedlar St, Galle 80000, Sri Lanka",6.026230099999999,80.2176535,4.7,,2.0,"cafe, establishment, food, point_of_interest, restaurant, store",0912 241 687,,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJw9JCj6Zz4ToRH__ycF0kZtM,Chambers,"40 Church St, Galle 80000, Sri Lanka",6.0263453,80.21774409999999,4.6,,2.0,"establishment, food, point_of_interest, restaurant",0912 244 320,,Monday: 12:00 – 9:30 PM | Tuesday: 12:00 – 9:30 PM | Wednesday: 12:00 – 9:30 PM | Thursday: 12:00 – 9:30 PM | Friday: 4:00 – 9:30 PM | Saturday: 12:00 – 9:30 PM | Sunday: 12:00 – 9:30 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJixqQ6qZz4ToRXmridFOlCEQ,56 by Deco,"fort, 56 Lighthouse St, Galle 80000, Sri Lanka",6.0258929,80.2168411,4.1,,,"establishment, food, lodging, point_of_interest, restaurant",0912 232 774,,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:30 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJt4PXsE9z4ToRdwxy9oNYGbo,Coffee Brunch Galle Fort,"63 Pedlar St, Galle 80000, Sri Lanka",6.02591,80.21661499999999,4.7,,,"establishment, food, point_of_interest, restaurant",077 674 7052,http://www.coffeebrunch.lk/,Monday: 8:30 AM – 5:00 PM | Tuesday: Closed | Wednesday: 8:30 AM – 6:30 PM | Thursday: 8:30 AM – 6:30 PM | Friday: 8:30 AM – 6:30 PM | Saturday: 8:30 AM – 6:30 PM | Sunday: 8:30 AM – 6:30 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJhwfKgKZz4ToR27ir4dvR7ak,The Pasta Factory,"Leyn Baan, Cross Street, Galle 80000, Sri Lanka",6.0270331,80.2179343,4.6,,2.0,"cafe, establishment, food, point_of_interest, restaurant, store",077 714 7736,,Monday: 12:00 – 8:30 PM | Tuesday: 12:00 – 8:30 PM | Wednesday: 12:00 – 8:30 PM | Thursday: 12:00 – 8:30 PM | Friday: 12:00 – 8:30 PM | Saturday: 12:00 – 8:30 PM | Sunday: 12:00 – 8:30 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJc7OwQJtz4ToRzQNbXLWVWqo,TrEATS @ FORT GALLE,"No:67 Pedlar St, Galle 80000, Sri Lanka",6.025936799999999,80.21638709999999,3.9,,,"cafe, establishment, food, point_of_interest, restaurant",076 191 7051,http://www.treatsgallefort.com/,Monday: 7:00 AM – 10:30 PM | Tuesday: 7:00 AM – 10:30 PM | Wednesday: 7:00 AM – 10:30 PM | Thursday: 7:00 AM – 10:30 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:30 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJhfdSqytz4ToRYYzDLBkQZF8,Dutch Fortress Hotel and Bakery,"45 Pedlar St, Galle 80000, Sri Lanka",6.0259655,80.2176003,,,,"establishment, food, point_of_interest, restaurant",077 690 4617,,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJd4vqQ1xz4ToRCejDubslFpY,The Boutique Galle Fort,"54 Pedlar St, Galle 80000, Sri Lanka",6.0262364,80.2180355,4.9,,,"cafe, establishment, food, point_of_interest, restaurant, store",077 799 9393,https://www.instagram.com/theboutique.gallefort?igsh=eGk2dXdiNWVvaWYz&utm_source=qr,Monday: 8:30 AM – 7:30 PM | Tuesday: 8:30 AM – 7:30 PM | Wednesday: 8:30 AM – 7:30 PM | Thursday: 8:30 AM – 7:30 PM | Friday: 8:30 AM – 7:30 PM | Saturday: 8:30 AM – 7:30 PM | Sunday: 8:30 AM – 7:30 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
ChIJ_TslIuJz4ToRAvo3oKyBySg,Double Happy Chinese restaurant (双喜中餐厅）,"62b Lighthouse St, Galle 80000, Sri Lanka",6.0255629,80.2168825,4.7,,,"establishment, food, point_of_interest, restaurant",076 664 0401,,Monday: 10:30 AM – 9:30 PM | Tuesday: 10:30 AM – 9:30 PM | Wednesday: 10:30 AM – 9:30 PM | Thursday: 10:30 AM – 9:30 PM | Friday: 10:30 AM – 9:30 PM | Saturday: 10:30 AM – 9:30 PM | Sunday: 10:30 AM – 9:30 PM,OPERATIONAL,Galle Fort,restaurant,restaurant,Top,True
ChIJx5iI1llz4ToRmf4e2FmVF0g,VOC Restaurant & Espresso Bar,"104 Pedlar St, Galle 80000, Sri Lanka",6.0259719,80.21591389999999,4.5,,,"bar, cafe, establishment, food, point_of_interest, restaurant, store",0912 222 650,https://instagram.com/voc_restaurant,Monday: 8:00 AM – 9:30 PM | Tuesday: 8:00 AM – 9:30 PM | Wednesday: 8:00 AM – 9:30 PM | Thursday: 8:00 AM – 9:29 PM | Friday: 8:00 AM – 9:30 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant,cafe,Top,True
